sex,Predicted_age,Weekday,TimeOfDay,mean
F,51,Sunday,Night,65.0
F,51,Thursday,Eve,10.0
F,51,Thursday,Morning,65.0
F,51,Thursday,Night,92.0
F,51,Thursday,Noon,40.0
F,51,Tuesday,Night,56.333333333333336
F,51,Tuesday,Noon,62.0
F,51,Wednesday,Eve,46.0
F,51,Wednesday,Morning,65.0
F,51,Wednesday,Night,62.75
F,52,Friday,Eve,52.333333333333336
F,52,Friday,Night,65.0
F,52,Monday,Eve,65.5
F,52,Monday,Morning,69.0
F,52,Monday,Night,68.4
F,52,Monday,Noon,55.0
F,52,Saturday,Night,65.0
F,52,Saturday,Noon,55.0
F,52,Sunday,Morning,65.0
F,52,Sunday,Night,96.0
F,52,Sunday,Noon,84.0
F,52,Thursday,Night,66.83333333333333
F,52,Thursday,Noon,42.0
F,52,Tuesday,Eve,67.0
F,52,Tuesday,Morning,10.0
F,52,Tuesday,Night,63.0
F,52,Tuesday,Noon,48.25
F,52,Wednesday,Night,71.75
F,53,Friday,Morning,46.0
F,53,Friday,Night,71.0
F,53,Friday,Noon,52.0
F,53,Monday,Morning,40.0
F,53,Monday,Night,65.5
F,53,Monday,Noon,52.0
F,53,Saturday,Morning,70.5
F,53,Saturday,Night,63.75
F,53,Saturday,Noon,54.0
F,53,Sunday,Night,65.0
F,53,Tuesday,Morning,43.5
F,53,Tuesday,Noon,47.5
F,53,Wednesday,Eve,65.0
F,53,Wednesday,Morning,65.0
F,53,Wednesday,Night,73.0
F,54,Friday,Eve,62.0
F,54,Friday,Morning,65.0
F,54,Monday,Eve,65.0
F,54,Monday,Night,65.5
F,54,Monday,Noon,54.0
F,54,Saturday,Eve,10.0
F,54,Saturday,Night,40.0
F,54,Saturday,Noon,62.4
F,54,Sunday,Eve,10.0
F,54,Sunday,Night,65.0
F,54,Sunday,Noon,65.0
F,54,Thursday,Morning,65.0
F,54,Thursday,Night,10.0
F,54,Thursday,Noon,54.333333333333336
F,54,Tuesday,Eve,36.0
F,54,Tuesday,Morning,54.0
F,54,Tuesday,Night,61.2
F,54,Tuesday,Noon,62.0
F,54,Wednesday,Morning,65.0
F,54,Wednesday,Night,65.0
F,55,Friday,Eve,59.0
F,55,Friday,Morning,40.0
F,55,Friday,Night,66.2
F,55,Monday,Eve,65.0
F,55,Monday,Morning,65.0
F,55,Monday,Night,10.0
F,55,Monday,Noon,94.0
F,55,Saturday,Night,65.0
F,55,Saturday,Noon,57.666666666666664
F,55,Sunday,Night,65.0
F,55,Sunday,Noon,65.0
F,55,Thursday,Eve,65.0
F,55,Thursday,Night,65.0
F,55,Tuesday,Morning,65.0
F,55,Tuesday,Night,55.5
F,55,Tuesday,Noon,58.0
F,55,Wednesday,Eve,65.0
F,55,Wednesday,Night,61.666666666666664
F,56,Friday,Eve,38.0
F,56,Friday,Morning,65.0
F,56,Friday,Noon,52.0
F,56,Monday,Eve,65.0
F,56,Monday,Morning,65.0
F,56,Monday,Night,56.333333333333336
F,56,Monday,Noon,62.0
F,56,Saturday,Night,62.0
F,56,Saturday,Noon,55.5
F,56,Sunday,Eve,40.0
F,56,Sunday,Noon,65.0
F,56,Thursday,Eve,65.0
F,56,Thursday,Night,65.0
F,56,Thursday,Noon,79.5
F,56,Tuesday,Eve,65.0
F,56,Tuesday,Noon,66.5
F,56,Wednesday,Eve,58.0
F,56,Wednesday,Morning,43.0
F,56,Wednesday,Night,65.0
F,56,Wednesday,Noon,65.0
F,57,Friday,Eve,63.5
F,57,Friday,Morning,65.0
F,57,Friday,Night,10.0
F,57,Monday,Eve,54.666666666666664
F,57,Monday,Morning,65.0
F,57,Monday,Night,40.0
F,57,Monday,Noon,67.66666666666667
F,57,Saturday,Eve,52.5
F,57,Saturday,Morning,96.0
F,57,Saturday,Night,48.0
F,57,Thursday,Morning,65.0
F,57,Thursday,Night,78.0
F,57,Tuesday,Night,43.666666666666664
F,57,Wednesday,Eve,55.5
F,57,Wednesday,Night,65.0
F,57,Wednesday,Noon,66.0
F,58,Friday,Eve,65.0
F,58,Friday,Morning,65.0
F,58,Friday,Night,55.0
F,58,Monday,Eve,68.5
F,58,Monday,Noon,55.0
F,58,Saturday,Night,57.2
F,58,Sunday,Eve,65.0
F,58,Sunday,Morning,65.0
F,58,Sunday,Night,47.0
F,58,Sunday,Noon,92.0
F,58,Thursday,Morning,65.0
F,58,Thursday,Night,100.0
F,58,Thursday,Noon,65.0
F,58,Tuesday,Eve,68.25
F,58,Tuesday,Morning,40.0
F,58,Tuesday,Night,52.0
F,58,Tuesday,Noon,66.0
F,58,Wednesday,Morning,58.333333333333336
F,58,Wednesday,Night,65.33333333333333
F,58,Wednesday,Noon,52.5
F,59,Friday,Eve,63.5
F,59,Friday,Night,65.0
F,59,Friday,Noon,55.5
F,59,Monday,Eve,65.0
F,59,Monday,Night,56.2
F,59,Monday,Noon,40.0
F,59,Saturday,Eve,62.75
F,59,Saturday,Noon,52.0
F,59,Sunday,Morning,65.66666666666667
F,59,Sunday,Night,66.0
F,59,Thursday,Morning,65.0
F,59,Thursday,Night,56.333333333333336
F,59,Thursday,Noon,72.0
F,59,Tuesday,Eve,65.5
F,59,Tuesday,Morning,94.0
F,59,Tuesday,Night,52.5
F,59,Tuesday,Noon,65.0
F,59,Wednesday,Eve,66.0
F,59,Wednesday,Night,43.0
F,60,Friday,Eve,52.0
F,60,Friday,Night,49.5
F,60,Friday,Noon,52.0
F,60,Monday,Night,65.0
F,60,Monday,Noon,55.333333333333336
F,60,Saturday,Night,64.0
F,60,Saturday,Noon,52.0
F,60,Sunday,Night,52.25
F,60,Thursday,Eve,37.5
F,60,Thursday,Morning,67.0
F,60,Thursday,Night,51.0
F,60,Tuesday,Morning,38.0
F,60,Tuesday,Night,51.375
F,60,Tuesday,Noon,40.333333333333336
F,60,Wednesday,Morning,96.0
F,60,Wednesday,Night,52.25
F,60,Wednesday,Noon,52.0
F,61,Friday,Eve,62.25
F,61,Friday,Night,51.0
F,61,Monday,Eve,65.0
F,61,Monday,Morning,10.0
F,61,Monday,Night,52.25
F,61,Monday,Noon,94.0
F,61,Saturday,Night,56.25
F,61,Saturday,Noon,62.0
F,61,Sunday,Eve,65.0
F,61,Thursday,Eve,5.0
F,61,Thursday,Morning,65.33333333333333
F,61,Thursday,Night,78.0
F,61,Thursday,Noon,52.5
F,61,Tuesday,Eve,60.666666666666664
F,61,Tuesday,Morning,62.0
F,61,Tuesday,Night,65.28571428571429
F,61,Wednesday,Eve,56.0
F,61,Wednesday,Morning,81.5
F,61,Wednesday,Night,69.0
F,62,Friday,Night,58.5
F,62,Monday,Night,64.0
F,62,Monday,Noon,40.0
F,62,Saturday,Eve,46.0
F,62,Saturday,Night,58.666666666666664
F,62,Saturday,Noon,63.0
F,62,Sunday,Morning,66.0
F,62,Sunday,Night,65.0
F,62,Sunday,Noon,10.0
F,62,Thursday,Night,74.0
F,62,Tuesday,Morning,10.0
F,62,Tuesday,Night,46.0
F,62,Wednesday,Eve,58.666666666666664
F,62,Wednesday,Morning,10.0
F,62,Wednesday,Night,65.0
F,62,Wednesday,Noon,46.0
F,63,Friday,Morning,39.0
F,63,Friday,Night,59.5
F,63,Friday,Noon,10.0
F,63,Monday,Eve,61.25
F,63,Monday,Night,89.0
F,63,Monday,Noon,40.0
F,63,Saturday,Morning,82.0
F,63,Saturday,Night,65.2
F,63,Saturday,Noon,53.0
F,63,Thursday,Eve,65.0
F,63,Thursday,Night,10.0
F,63,Thursday,Noon,64.5
F,63,Tuesday,Morning,50.666666666666664
F,63,Tuesday,Night,65.25
F,63,Wednesday,Eve,65.0
F,63,Wednesday,Night,65.0
F,63,Wednesday,Noon,46.0
F,64,Friday,Eve,57.666666666666664
F,64,Friday,Night,25.0
F,64,Monday,Eve,65.0
F,64,Monday,Morning,65.0
F,64,Monday,Night,65.0
F,64,Monday,Noon,49.5
F,64,Saturday,Eve,65.0
F,64,Saturday,Night,64.25
F,64,Sunday,Eve,37.5
F,64,Sunday,Night,58.75
F,64,Sunday,Noon,10.0
F,64,Thursday,Eve,65.0
F,64,Thursday,Night,54.285714285714285
F,64,Thursday,Noon,39.0
F,64,Tuesday,Morning,50.5
F,64,Tuesday,Night,50.0
F,64,Wednesday,Night,64.6
F,65,Friday,Eve,59.333333333333336
F,65,Friday,Morning,65.0
F,65,Friday,Night,55.6
F,65,Friday,Noon,49.0
F,65,Monday,Eve,65.33333333333333
F,65,Monday,Morning,66.0
F,65,Monday,Night,64.0
F,65,Monday,Noon,53.5
F,65,Saturday,Eve,65.0
F,65,Saturday,Morning,55.5
F,65,Saturday,Night,10.0
F,65,Saturday,Noon,54.666666666666664
F,65,Sunday,Eve,65.0
F,65,Sunday,Night,52.5
F,65,Thursday,Eve,65.0
F,65,Thursday,Noon,51.25
F,65,Tuesday,Eve,65.0
F,65,Tuesday,Night,65.0
F,65,Tuesday,Noon,52.0
F,65,Wednesday,Eve,24.5
F,65,Wednesday,Morning,69.0
F,65,Wednesday,Night,65.33333333333333
F,66,Friday,Night,49.5
F,66,Monday,Eve,65.0
F,66,Monday,Morning,65.0
F,66,Saturday,Night,65.0
F,66,Tuesday,Night,65.0
F,66,Tuesday,Noon,62.0
F,66,Wednesday,Night,65.0
F,67,Friday,Morning,62.0
F,67,Friday,Night,65.0
F,67,Tuesday,Eve,65.0
F,67,Wednesday,Night,65.5
F,68,Friday,Night,40.0
F,68,Monday,Morning,65.0
F,68,Monday,Noon,63.5
F,68,Saturday,Night,65.0
F,68,Thursday,Morning,65.0
F,68,Thursday,Night,94.0
F,68,Tuesday,Night,46.0
F,68,Wednesday,Eve,65.0
F,68,Wednesday,Night,65.0
F,69,Friday,Night,65.0
F,69,Monday,Eve,65.0
F,69,Monday,Noon,39.0
F,69,Sunday,Morning,34.0
F,69,Sunday,Night,65.0
F,69,Thursday,Eve,46.0
F,69,Thursday,Night,65.0
F,69,Wednesday,Eve,65.0
F,69,Wednesday,Night,65.0
F,70,Monday,Noon,52.0
F,70,Saturday,Eve,52.0
F,70,Sunday,Night,65.0
F,70,Wednesday,Night,69.0
F,71,Monday,Eve,65.0
F,71,Monday,Night,92.0
F,71,Saturday,Morning,18.0
F,71,Saturday,Night,65.0
F,71,Sunday,Morning,78.0
F,71,Sunday,Night,65.0
F,71,Thursday,Night,10.0
F,71,Tuesday,Night,55.5
F,72,Friday,Eve,46.0
F,72,Friday,Night,65.0
F,72,Friday,Noon,39.0
F,72,Monday,Eve,65.0
F,72,Thursday,Morning,65.0
F,72,Thursday,Night,92.0
F,72,Tuesday,Eve,52.0
F,72,Wednesday,Noon,55.5
F,73,Friday,Eve,65.0
F,73,Friday,Night,65.0
F,73,Monday,Noon,65.0
F,73,Saturday,Night,65.0
F,73,Thursday,Night,65.0
F,73,Thursday,Noon,62.0
F,74,Friday,Night,58.0
F,74,Monday,Morning,65.0
F,74,Sunday,Noon,65.0
F,74,Thursday,Night,31.0
F,74,Tuesday,Night,65.0
F,74,Wednesday,Morning,65.0
F,75,Friday,Night,57.0
F,75,Friday,Noon,46.0
F,75,Monday,Morning,65.0
F,75,Monday,Noon,46.0
F,75,Thursday,Noon,65.0
F,75,Tuesday,Morning,40.0
F,75,Tuesday,Night,42.0
F,75,Wednesday,Night,65.0
F,75,Wednesday,Noon,66.0
F,76,Sunday,Morning,65.0
F,76,Sunday,Night,65.0
F,76,Sunday,Noon,65.0
F,76,Tuesday,Eve,65.0
F,77,Friday,Morning,65.0
F,77,Friday,Night,65.0
F,77,Monday,Night,65.0
F,77,Saturday,Night,66.0
F,77,Thursday,Night,65.0
F,77,Tuesday,Noon,62.0
F,77,Wednesday,Night,68.0
F,78,Saturday,Night,65.0
F,78,Thursday,Night,65.0
F,78,Tuesday,Night,65.0
F,78,Wednesday,Eve,38.0
F,78,Wednesday,Night,46.0
F,78,Wednesday,Noon,46.0
F,79,Friday,Eve,65.0
F,79,Friday,Night,65.0
F,79,Monday,Eve,65.0
F,79,Sunday,Eve,94.0
F,79,Thursday,Noon,65.0
F,80,Saturday,Morning,37.5
F,80,Thursday,Night,65.0
F,80,Tuesday,Eve,65.0
M,25,Friday,Eve,46.0
M,26,Friday,Eve,92.0
M,26,Friday,Morning,65.0
M,26,Friday,Night,65.0
M,26,Tuesday,Night,39.0
M,27,Friday,Eve,65.0
M,27,Saturday,Morning,46.0
M,27,Thursday,Eve,34.0
M,27,Thursday,Night,52.0
M,28,Friday,Eve,52.333333333333336
M,28,Friday,Night,66.0
M,28,Friday,Noon,65.5
M,28,Sunday,Night,39.0
M,28,Thursday,Night,10.0
M,28,Tuesday,Eve,62.0
M,29,Friday,Eve,65.0
M,29,Friday,Morning,69.0
M,29,Friday,Night,54.0
M,29,Friday,Noon,65.0
M,29,Monday,Eve,39.0
M,29,Tuesday,Night,52.0
M,30,Friday,Eve,40.0
M,30,Friday,Morning,65.0
M,30,Friday,Night,66.0
M,30,Friday,Noon,66.0
M,30,Saturday,Morning,46.0
M,30,Thursday,Eve,34.0
M,30,Thursday,Night,46.0
M,31,Friday,Eve,65.0
M,31,Friday,Night,66.0
M,31,Monday,Night,39.0
M,31,Saturday,Night,46.0
M,31,Thursday,Eve,65.0
M,31,Tuesday,Eve,62.0
M,31,Tuesday,Night,39.0
M,31,Wednesday,Night,46.0
M,32,Friday,Eve,66.0
M,32,Friday,Morning,46.0
M,32,Friday,Noon,65.0
M,32,Saturday,Night,40.0
M,32,Thursday,Eve,34.0
M,33,Friday,Eve,65.5
M,33,Friday,Night,61.5
M,33,Tuesday,Eve,62.0
M,34,Friday,Night,65.0
M,34,Friday,Noon,65.0
M,34,Monday,Eve,39.0
M,34,Wednesday,Night,54.0
M,35,Friday,Eve,65.0
M,35,Friday,Night,63.0
M,35,Monday,Eve,39.0
M,35,Tuesday,Night,62.0
M,36,Friday,Eve,58.75
M,36,Friday,Night,65.0
M,36,Friday,Noon,46.0
M,36,Tuesday,Morning,62.0
M,36,Wednesday,Night,46.0
M,37,Friday,Eve,53.75
M,37,Friday,Noon,66.0
M,37,Tuesday,Night,62.0
M,38,Friday,Eve,62.0
M,38,Friday,Night,75.33333333333333
M,38,Thursday,Eve,65.0
M,38,Tuesday,Eve,62.0
M,39,Friday,Eve,52.5
M,39,Friday,Night,62.0
M,40,Friday,Morning,65.0
M,40,Friday,Night,65.0
M,40,Friday,Noon,72.0
M,40,Saturday,Night,40.0
M,41,Friday,Eve,52.5
M,41,Saturday,Morning,58.0
M,41,Thursday,Night,65.0
M,42,Friday,Eve,65.0
M,42,Friday,Night,56.333333333333336
M,43,Friday,Eve,65.0
M,43,Friday,Night,55.5
M,43,Tuesday,Night,62.0
M,44,Friday,Eve,65.0
M,44,Friday,Morning,69.0
M,44,Thursday,Eve,46.0
M,44,Wednesday,Eve,62.0
M,45,Friday,Eve,46.0
M,45,Friday,Night,66.0
M,45,Friday,Noon,67.66666666666667
M,45,Monday,Eve,39.0
M,45,Thursday,Night,52.0
M,46,Friday,Eve,55.5
M,46,Friday,Night,69.0
M,46,Friday,Noon,65.0
M,46,Saturday,Morning,46.0
M,46,Saturday,Night,52.0
M,47,Friday,Eve,65.0
M,47,Friday,Noon,46.0
M,47,Saturday,Night,40.0
M,48,Friday,Eve,60.0
M,48,Friday,Night,55.0
M,48,Saturday,Morning,46.0
M,48,Wednesday,Night,62.0
M,49,Friday,Eve,89.0
M,49,Friday,Noon,69.5
M,49,Tuesday,Night,52.0
M,49,Wednesday,Night,62.0
M,50,Friday,Eve,65.0
M,50,Friday,Night,61.666666666666664
M,50,Friday,Noon,66.0
M,50,Saturday,Morning,46.0
M,50,Sunday,Night,39.0
M,54,Thursday,Eve,65.0
M,55,Friday,Morning,69.0
M,58,Friday,Eve,85.0
M,58,Friday,Morning,69.0
M,58,Saturday,Morning,46.0
M,60,Friday,Eve,40.0
