sex,Predicted_age,Weekday,TimeOfDay,mean
F,30,Tuesday,Noon,46.166666666666664
F,30,Wednesday,Eve,64.8125
F,30,Wednesday,Morning,63.4
F,30,Wednesday,Night,62.04347826086956
F,30,Wednesday,Noon,53.0
F,31,Friday,Eve,47.095238095238095
F,31,Friday,Morning,56.8
F,31,Friday,Night,61.5
F,31,Friday,Noon,53.3
F,31,Monday,Eve,63.916666666666664
F,31,Monday,Morning,51.57142857142857
F,31,Monday,Night,58.696969696969695
F,31,Monday,Noon,51.23076923076923
F,31,Saturday,Eve,54.857142857142854
F,31,Saturday,Morning,61.875
F,31,Saturday,Night,63.925925925925924
F,31,Saturday,Noon,53.0
F,31,Sunday,Eve,63.45454545454545
F,31,Sunday,Morning,53.22222222222222
F,31,Sunday,Night,61.724137931034484
F,31,Sunday,Noon,61.55555555555556
F,31,Thursday,Eve,65.73333333333333
F,31,Thursday,Morning,54.8
F,31,Thursday,Night,62.205882352941174
F,31,Thursday,Noon,60.142857142857146
F,31,Tuesday,Eve,64.89473684210526
F,31,Tuesday,Morning,49.57142857142857
F,31,Tuesday,Night,58.857142857142854
F,31,Tuesday,Noon,61.1
F,31,Wednesday,Eve,61.27272727272727
F,31,Wednesday,Morning,63.09090909090909
F,31,Wednesday,Night,61.0
F,31,Wednesday,Noon,51.0
F,32,Friday,Eve,58.241379310344826
F,32,Friday,Morning,58.0
F,32,Friday,Night,60.107142857142854
F,32,Friday,Noon,67.45454545454545
F,32,Monday,Eve,53.93333333333333
F,32,Monday,Morning,74.0
F,32,Monday,Night,59.25714285714286
F,32,Monday,Noon,52.06666666666667
F,32,Saturday,Eve,57.54545454545455
F,32,Saturday,Morning,74.66666666666667
F,32,Saturday,Night,63.2
F,32,Saturday,Noon,55.666666666666664
F,32,Sunday,Eve,60.0
F,32,Sunday,Morning,65.75
F,32,Sunday,Night,66.3
F,32,Sunday,Noon,65.125
F,32,Thursday,Eve,59.76470588235294
F,32,Thursday,Morning,63.75
F,32,Thursday,Night,50.44117647058823
F,32,Thursday,Noon,52.166666666666664
F,32,Tuesday,Eve,62.8235294117647
F,32,Tuesday,Morning,41.09090909090909
F,32,Tuesday,Night,56.15625
F,32,Tuesday,Noon,52.25
F,32,Wednesday,Eve,65.9090909090909
F,32,Wednesday,Morning,52.5
F,32,Wednesday,Night,65.76470588235294
F,32,Wednesday,Noon,57.5
F,33,Friday,Eve,58.81818181818182
F,33,Friday,Morning,55.0
F,33,Friday,Night,59.708333333333336
F,33,Friday,Noon,56.90909090909091
F,33,Monday,Eve,57.23076923076923
F,33,Monday,Morning,44.0
F,33,Monday,Night,58.926829268292686
F,33,Monday,Noon,46.529411764705884
F,33,Saturday,Eve,61.6
F,33,Saturday,Morning,62.25
F,33,Saturday,Night,65.31818181818181
F,33,Saturday,Noon,62.388888888888886
F,33,Sunday,Eve,65.0
